name,prefix,suffix,long,lat,level,id,tinh_id
Huyện Đức Linh,Huyện,Đức Linh,107.56,11.1857,2,2074,26
Huyện Trần Văn Thời,Huyện,Trần Văn Thời,104.967,9.07139,2,2075,27
Huyện Phục Hòa,Huyện,Phục Hòa,106.514,22.5313,2,2076,28
Huyện Ea Súp,Huyện,Ea Súp,107.885,13.066,2,2077,29
Huyện Tuy Đức,Huyện,Tuy Đức,107.463,12.212,2,2078,30
Huyện Tuần Giáo,Huyện,Tuần Giáo,103.422,21.5913,2,2079,31
Huyện Thống Nhất,Huyện,Thống Nhất,107.142,10.9506,2,2080,32
Huyện Lai Vung,Huyện,Lai Vung,105.66,10.2872,2,2081,33
Huyện Ia Pa,Huyện,Ia Pa,108.464,13.5122,2,2082,34
Huyện Quản Bạ,Huyện,Quản Bạ,104.991,23.0645,2,2083,35
Huyện Lộc Hà,Huyện,Lộc Hà,105.892,18.4349,2,2085,37
Huyện Nam Sách,Huyện,Nam Sách,106.336,21.0033,2,2086,38
Huyện Long Mỹ,Huyện,Long Mỹ,105.464846,9.665223,2,2087,39
Huyện Mai Châu,Huyện,Mai Châu,105.083,20.6604,2,2088,40
Huyện Văn Giang,Huyện,Văn Giang,105.942,20.9457,2,2089,41
Huyện Trường Sa,Huyện,Trường Sa,114.15,9.33105,2,2090,42
Huyện Hòn Đất,Huyện,Hòn Đất,104.932,10.186,2,2091,43
Huyện Sa Thầy,Huyện,Sa Thầy,107.794,14.4099,2,2092,44
Huyện Nậm Nhùn,Huyện,Nậm Nhùn,103.021343,22.144177,2,2093,45
Huyện Đạ Huoai,Huyện,Đạ Huoai,107.534,11.3851,2,2094,46
Huyện Đình Lập,Huyện,Đình Lập,107.099,21.5461,2,2095,47
Huyện Si Ma Cai,Huyện,Si Ma Cai,104.285,22.6995,2,2096,48
Huyện Đức Hòa,Huyện,Đức Hòa,106.395,10.8945,2,2097,49
Huyện Vụ Bản,Huyện,Vụ Bản,106.086,20.3335,2,2098,50
Huyện Hưng Nguyên,Huyện,Hưng Nguyên,105.632,18.6706,2,2099,51
Huyện Yên Mô,Huyện,Yên Mô,106.007,20.1612,2,2100,52
Huyện Tân Sơn,Huyện,Tân Sơn,105.065,21.1655,2,2102,54
Huyện Tây Hòa,Huyện,Tây Hòa,109.24,12.9974,2,2103,55
Huyện Tuyên Hóa,Huyện,Tuyên Hóa,106.026,17.8842,2,2104,56
Huyện Nam Giang,Huyện,Nam Giang,107.837,15.7532,2,2105,57
Huyện Đức Phổ,Huyện,Đức Phổ,108.958,14.8094,2,2106,58
Huyện Bình Liêu,Huyện,Bình Liêu,107.401,21.527,2,2107,59
Huyện Cồn Cỏ,Huyện,Cồn Cỏ,107.334,17.159,2,2108,60
Huyện Mỹ Xuyên,Huyện,Mỹ Xuyên,105.988,9.56049,2,2109,61
Huyện Sông Mã,Huyện,Sông Mã,103.751,21.0496,2,2110,62
Huyện Tân Châu,Huyện,Tân Châu,106.162,11.5537,2,2111,63
Huyện Vũ Thư,Huyện,Vũ Thư,106.29,20.4346,2,2112,64
Huyện Phú Lương,Huyện,Phú Lương,105.707,21.7271,2,2113,65
Huyện Hoằng Hóa,Huyện,Hoằng Hóa,105.854,19.858,2,2114,66
Huyện Phú Vang,Huyện,Phú Vang,107.601,16.5079,2,2115,67
Huyện Gò Công Tây,Huyện,Gò Công Tây,106.58,10.3438,2,2116,68
Huyện Trà Cú,Huyện,Trà Cú,106.259,9.69796,2,2117,69
Huyện Vũng Liêm,Huyện,Vũng Liêm,106.19,10.0844,2,2119,71
Huyện Yên Lạc,Huyện,Yên Lạc,105.575,21.2351,2,2120,72
Huyện Văn Yên,Huyện,Văn Yên,104.69,21.8784,2,2121,73
Quận Tây Hồ,Quận,Tây Hồ,105.810847,21.069508,2,2315,11
Quận 9,Quận,9,106.770844,10.839899,2,2316,12
Huyện An Lão,Huyện,An Lão,106.556173,20.82287,2,2317,13
Huyện Thới Lai,Huyện,Thới Lai,105.565112,10.067858,2,2319,15
Huyện Thoại Sơn,Huyện,Thoại Sơn,105.268,10.2684,2,2320,16
Huyện Yên Dũng,Huyện,Yên Dũng,106.248,21.2006,2,2323,19
Huyện Mỏ Cày Bắc,Huyện,Mỏ Cày Bắc,106.266987,10.177625,2,2326,22
Huyện Bắc Tân Uyên,Huyện,Bắc Tân Uyên,106.843529,11.149927,2,2327,23
Huyện Tuy Phước,Huyện,Tuy Phước,109.168,13.8263,2,2328,24
Huyện Hớn Quản,Huyện,Hớn Quản,106.607,11.576,2,2329,25
Huyện Tánh Linh,Huyện,Tánh Linh,107.682,11.0834,2,2330,26
Huyện U Minh,Huyện,U Minh,104.969,9.40921,2,2331,27
Huyện Quảng Uyên,Huyện,Quảng Uyên,106.442,22.6954,2,2332,28
Huyện Krông Ana,Huyện,Krông Ana,108.032,12.481,2,2333,29
Huyện Tủa Chùa,Huyện,Tủa Chùa,103.343431,21.857799,2,2335,31
Huyện Trảng Bom,Huyện,Trảng Bom,107.006,10.953,2,2336,32
Huyện Tân Hồng,Huyện,Tân Hồng,105.465,10.8718,2,2337,33
